matrix_name,m,n,nnz_original,nnz_bicg,standalone_gflops,bicg_gflops,perf_ratio,standalone_working_set,bicg_working_set,gflops_change_pct,nnz_change_pct,working_set_change_pct,device,cache_category
scircuit,170998,170998,958936,959020,134.886518,126.97649189588816,0.9413579190760055,14.239038696289063,28.59,-5.864208092399446,0.008759708677117138,100.7860264292353,NVIDIA-H100,Small (<= 128MB)
mac_econ_fwd500,206500,206500,1273389,1457389,162.64575866666667,139.95137326855152,0.8604674011535338,18.514287109375,37.95,-13.953259884646615,14.449630081616851,104.97683640642809,NVIDIA-H100,Small (<= 128MB)
raefsky3,21200,21200,1488768,1488768,196.582821,190.02268633333333,0.9666291559288048,17.44,19.22,-3.3370844071195163,0.0,10.20642201834861,NVIDIA-H100,Small (<= 128MB)
rgg_n_2_17_s0,131072,131072,1457506,1588578,171.025082,158.78633918771675,0.9284389010713455,19.18,31.679999999999996,-7.156109892865451,8.992896084132758,65.1720542231491,NVIDIA-H100,Small (<= 128MB)
bbmat,38744,38744,1771722,1771722,218.70435799999998,210.41359033333333,0.9620914382206016,21.01,24.27,-3.790856177939835,0.0,15.516420752022835,NVIDIA-H100,Small (<= 128MB)
appu,14000,14000,1853104,1853104,186.70975166666668,178.51484533333334,0.95610884669825,21.47,22.649999999999995,-4.389115330174998,0.0,5.496040987424296,NVIDIA-H100,Small (<= 128MB)
mc2depi,525825,525825,2100225,2100225,195.82966066666665,167.10841866666667,0.8533355881727839,34.06,78.19,-14.666441182721615,0.0,129.56547269524364,NVIDIA-H100,Small (<= 128MB)
rma10,46835,46835,2374001,2374001,262.61784266666666,255.0383896666667,0.9711388498091489,28.06,31.99,-2.8861150190851106,0.0,14.005702066999287,NVIDIA-H100,Small (<= 128MB)
cop20k_A,121192,121192,2624331,2645680,102.83533633333333,233.71931702766508,2.272752979287983,32.34568008422852,42.76,127.27529792879828,0.8135025650346697,32.196942184095285,NVIDIA-H100,Small (<= 128MB)
thermomech_dK,204316,204316,2846228,2846228,246.86849433333336,229.424797,0.9293401234513949,36.47,53.62,-7.065987654860508,0.0,47.02495201535508,NVIDIA-H100,Small (<= 128MB)
webbase-1M,1000005,1000005,3105536,3105536,229.796545,206.60788200000002,0.8990904628265843,54.60999999999999,138.54,-10.090953717341568,0.0,153.68980040285663,NVIDIA-H100,Small (<= 128MB)
cant,62451,62451,4007383,4007383,296.54728166666666,292.171406,0.9852439191414158,47.04999999999999,52.29,-1.4756080858584184,0.0,11.137088204038278,NVIDIA-H100,Small (<= 128MB)
ASIC_680k,682862,682862,3871773,3871848,256.990884,237.62795358262258,0.9246551857560154,57.32914169311524,114.64,-7.534481424398468,0.0019370970353892133,99.96810804123258,NVIDIA-H100,Small (<= 128MB)
roadNet-TX,1393383,1393383,3843320,5236703,230.16884566666667,172.35801623503184,0.7488329523303202,70.56399703979493,203.43999999999997,-25.116704766967974,36.25467044118106,188.30566370165926,NVIDIA-H100,Small (<= 128MB)
pdb1HYS,36417,36417,4344765,4344765,311.1724096666667,304.3750556666667,0.9781556661553592,50.419999999999995,53.47,-2.1844333844640755,0.0,6.049186830622777,NVIDIA-H100,Small (<= 128MB)
TSOPF_RS_b300_c3,42138,42138,4413449,4413731,323.3959426666667,315.5000929302552,0.9755845739086777,51.30677276611328,54.85,-2.441542609132226,0.006389560636137406,6.905963955360924,NVIDIA-H100,Small (<= 128MB)
Chebyshev4,68121,68121,5377761,5377761,357.4471866666666,344.9356866666667,0.9649976263160035,62.84,68.56,-3.5002373683996453,0.0,9.102482495225967,NVIDIA-H100,Small (<= 128MB)
consph,83334,83334,6010480,6010480,345.1789953333334,338.878899,0.9817483206727295,70.37,77.37,-1.8251679327270454,0.0,9.94742077589882,NVIDIA-H100,Small (<= 128MB)
